lcd_id,lcd_version,article_id,article_version,contractor_id,last_updated
33996,33,56798,29,228,07/16/2020
33996,33,58270,2,228,07/16/2020
33999,21,56457,15,228,03/28/2019
34005,34,56456,32,228,03/29/2019
34007,48,57778,59,368,12/16/2022
34007,48,59285,3,368,12/16/2022
34008,23,56816,16,228,07/31/2019
34010,38,54715,4,345,01/15/2016
34010,38,53079,26,345,07/12/2016
34010,38,57707,14,345,11/08/2019
34018,18,57122,23,368,10/02/2019
34021,18,57657,25,368,11/21/2019
34027,14,57028,4,368,09/18/2019
34027,14,57029,10,368,09/18/2019
34028,16,57025,21,368,01/29/2021
34028,16,58587,5,368,01/29/2021
34032,34,56459,30,240,03/29/2019
34037,22,56464,35,228,09/27/2019
34038,32,57084,15,345,09/14/2019
34040,34,57698,14,357,05/27/2025
34040,34,60189,3,357,05/27/2025
34045,38,56697,44,228,01/31/2025
34045,38,60198,2,228,04/18/2025
34046,29,57040,26,228,09/20/2019
34049,36,57067,34,228,09/13/2019
34051,43,55373,4,345,12/03/2016
34051,43,57719,21,345,11/20/2019
34056,27,56802,18,228,09/20/2019
34061,26,56692,19,228,07/05/2019
34062,42,56460,14,228,03/29/2019
34063,19,57043,24,238,09/06/2019
34064,24,56594,14,228,09/25/2019
34074,39,54643,13,345,08/28/2015
34074,39,54647,3,345,08/31/2015
34074,39,54662,14,345,09/01/2015
34074,39,57194,36,345,09/17/2019
34076,24,55490,4,345,04/27/2017
34076,24,57201,8,345,09/18/2019
34081,26,56461,26,228,10/23/2019
34082,30,57305,14,228,09/20/2019
34084,23,56811,13,228,09/20/2019
34085,18,57050,13,228,09/20/2019
34087,20,57038,16,228,09/20/2019
34090,22,56467,14,228,04/05/2019
34106,47,56573,21,345,11/18/2020
34106,47,58535,3,345,11/18/2020
34149,52,57224,68,364,09/15/2023
34149,52,59531,4,364,09/15/2023
34149,52,59532,4,354,10/16/2025
34163,33,55072,6,364,05/25/2016
34163,33,57683,11,364,11/16/2019
34163,33,55076,6,356,11/11/2025
34171,18,57284,14,228,01/08/2020
34175,32,57069,25,228,09/13/2019
34181,28,57070,16,238,09/18/2019
34183,20,57052,18,228,09/20/2019
34194,27,57190,11,364,09/20/2019
34195,28,56836,18,228,08/01/2019
34196,30,57053,22,228,09/20/2019
34200,30,57044,22,228,09/16/2019
34203,26,57195,29,364,06/09/2023
34203,26,59312,5,364,06/09/2023
34203,26,59413,3,364,06/09/2023
34203,26,59414,3,357,09/16/2025
34209,43,54713,4,364,01/15/2016
34209,43,53084,28,364,07/12/2016
34209,43,57706,14,364,11/08/2019
34209,43,54715,4,359,10/16/2025
34211,40,57701,30,364,02/07/2024
34211,40,59651,2,364,02/07/2024
34211,40,59652,3,357,10/28/2025
34213,56,55555,8,364,05/18/2017
34213,56,57342,31,364,10/03/2019
34213,56,55558,8,353,11/11/2025
34215,59,55933,4,364,04/09/2018
34215,59,57689,44,364,11/26/2019
34218,26,55489,3,360,03/31/2017
34218,26,55490,4,353,09/16/2025
34218,26,57079,15,364,09/18/2019
34220,40,56017,2,364,07/02/2018
34220,40,57206,30,364,09/20/2019
34220,40,56018,2,354,10/28/2025
34228,54,56572,22,364,11/18/2020
34228,54,58534,3,364,11/18/2020
34228,54,58535,3,356,11/11/2025
34233,36,55154,2,364,07/12/2016
34233,36,57161,22,364,09/18/2019
34233,36,55155,3,357,10/28/2025
34246,26,57193,31,228,09/23/2019
34313,18,57181,37,364,09/18/2019
34314,53,54641,13,364,08/28/2015
34314,53,54645,3,364,08/31/2015
34314,53,54660,14,364,09/01/2015
34314,53,57187,39,364,09/17/2019
34315,41,57326,42,364,10/03/2019
34324,38,55553,4,364,05/17/2017
34324,38,57183,23,364,09/19/2019
34324,38,55554,6,357,10/16/2025
34328,44,55530,35,364,06/26/2018
34328,44,56041,3,364,06/26/2018
34328,44,56042,3,353,10/28/2025
34337,23,56809,20,228,09/20/2019
34338,34,57306,44,228,04/06/2023
34338,34,59357,4,228,04/06/2023
34353,35,57065,32,228,09/20/2019
34356,31,56462,32,228,09/23/2019
34372,22,57779,8,368,11/22/2019
34372,22,58258,4,368,06/19/2020
34380,42,56537,41,297,07/25/2019
34393,24,57068,17,228,09/13/2019
34394,27,52417,10,228,03/12/2014
34394,27,56799,29,238,08/05/2019
34399,30,57071,36,228,09/18/2019
34410,46,56605,22,391,12/22/2025
34410,46,60382,5,391,12/22/2025
34411,46,55408,3,374,12/14/2016
34411,46,56503,12,391,04/11/2019
34413,53,53047,17,378,02/15/2016
34413,53,54828,4,378,01/21/2016
34413,53,56613,17,391,05/30/2019
34415,58,56421,40,391,07/07/2022
34415,58,59140,2,391,07/07/2022
34417,57,55517,3,374,04/19/2017
34417,57,56612,35,391,05/29/2019
34419,43,56675,25,391,01/19/2024
34419,43,59635,2,391,01/19/2024
34424,47,56775,24,391,12/06/2024
34424,47,59946,2,391,12/06/2024
34425,43,56729,21,391,12/06/2024
34425,43,59949,2,391,12/06/2024
34426,55,55314,2,378,08/30/2016
34426,55,56774,22,391,07/23/2019
34427,100,53064,87,374,12/01/2016
34427,100,55374,3,374,12/01/2016
34427,100,53053,14,374,12/13/2016
34427,100,53773,20,374,12/13/2016
34428,93,53065,76,226,09/11/2014
34428,93,53773,20,226,09/18/2014
34428,93,53053,14,226,01/21/2015
34429,63,54753,3,374,12/04/2015
34429,63,56868,30,391,08/07/2019
34430,46,55263,3,374,08/12/2016
34430,46,56717,35,391,07/15/2019
34431,60,55534,3,378,05/04/2017
34431,60,56825,20,391,07/31/2019
34433,43,55508,3,374,04/06/2017
34433,43,56769,18,391,07/20/2019
34434,68,56389,36,391,06/24/2022
34434,68,59127,3,391,06/24/2022
34454,67,56212,3,391,12/06/2018
34454,67,55069,26,395,12/18/2018
34454,67,55227,19,391,06/05/2019
34454,67,56632,31,391,06/10/2019
34512,48,56611,15,391,05/29/2019
34513,41,55717,26,378,08/28/2017
34519,33,57440,3,368,10/04/2019
34519,33,57451,38,368,10/04/2019
34519,33,58918,90,368,11/29/2021
34520,32,57780,27,368,11/21/2019
34520,32,58256,3,368,06/19/2020
34521,7,57667,10,368,11/21/2019
34522,29,57647,17,368,10/21/2022
34522,29,59263,6,368,10/21/2022
34526,24,56905,20,143,08/20/2019
34528,38,56908,19,143,08/20/2019
34536,36,56914,19,143,08/20/2019
34537,45,55405,3,378,12/14/2016
34537,45,56497,20,378,04/08/2019
34539,16,57054,12,228,09/20/2019
34540,15,57039,9,228,09/20/2019
34541,21,59287,2,238,12/29/2022
34541,21,56808,15,238,12/29/2022
34544,47,53056,15,227,02/09/2023
34544,47,56669,16,373,06/27/2019
34547,40,53056,15,227,02/09/2023
34547,40,56502,8,373,04/17/2019
34548,43,53056,15,227,02/09/2023
34548,43,56610,13,373,05/29/2019
34548,43,53054,15,227,03/31/2014
34552,40,56673,14,374,07/03/2019
34553,47,56703,17,391,06/24/2024
34553,47,59814,3,391,06/24/2024
34554,34,55995,5,378,07/31/2018
34554,34,56871,19,391,08/07/2019
34558,40,53056,15,227,02/09/2023
34558,40,56679,9,373,06/27/2019
34559,43,53056,15,227,02/09/2023
34559,43,56545,14,373,05/02/2019
34560,76,53053,14,227,03/31/2014
34560,76,53057,67,227,03/31/2014
34561,69,56756,20,373,07/23/2019
34562,45,56641,18,373,06/24/2019
34563,51,53052,48,227,03/31/2014
34564,83,53053,14,227,03/31/2014
34564,83,53058,65,227,03/31/2014
34565,40,56648,19,373,06/24/2019
34567,43,53056,15,227,02/09/2023
34567,43,56639,20,373,06/13/2019
34570,52,56614,23,391,06/05/2019
34573,31,56606,22,391,05/28/2019
34575,43,56215,5,374,12/13/2018
34575,43,55354,35,391,12/13/2018
34576,72,56852,24,391,08/05/2019
34577,64,55336,49,374,05/09/2017
34577,64,55546,3,374,05/09/2017
34578,30,56584,14,391,05/15/2019
34580,57,56718,39,391,08/14/2020
34580,57,58289,2,391,08/14/2020
34594,42,57478,40,143,10/23/2019
34596,52,56900,23,143,08/19/2019
34614,43,56394,32,143,03/19/2019
34615,42,57483,28,143,10/23/2019
34616,44,57480,31,143,10/23/2019
34623,38,57604,16,143,10/30/2019
34624,42,57597,22,143,11/01/2019
34633,54,57117,4,143,12/11/2019
34633,54,56795,34,143,12/16/2019
34633,54,57844,2,143,12/16/2019
34635,37,58775,4,143,09/14/2021
34635,37,57474,34,143,09/22/2021
34635,37,58907,2,143,09/22/2021
34636,38,54953,70,147,12/19/2025
34636,38,57476,22,143,02/02/2021
34641,27,57598,11,143,08/12/2022
34641,27,59237,2,143,08/23/2022
34645,51,59432,4,143,09/14/2023
34645,51,56915,37,143,09/21/2023
34645,51,59562,2,143,09/21/2023
34646,26,57481,12,143,10/23/2019
34648,31,56907,24,143,12/12/2023
34648,31,59561,3,143,12/12/2023
34648,31,59622,2,143,12/20/2023
34658,36,57484,22,143,10/23/2019
34659,32,58466,4,143,12/16/2020
34659,32,56395,18,143,12/22/2020
34659,32,58568,2,143,12/22/2020
34760,27,56916,33,143,08/20/2019
34761,34,57479,18,143,10/24/2019
34771,51,57554,52,143,10/30/2019
34821,21,55426,132,389,05/02/2017
34821,21,52713,18,140,04/04/2014
34823,27,52711,22,388,07/12/2019
34823,27,55426,132,388,07/12/2019
34823,27,56688,7,388,07/12/2019
34824,21,55426,132,140,04/20/2017
34824,21,52712,25,140,04/04/2014
34833,94,56602,39,331,06/06/2019
34859,34,57123,61,368,10/20/2023
34859,34,59568,5,368,10/20/2023
34865,72,56805,41,331,07/31/2019
34869,42,57813,8,394,01/18/2022
34869,42,58977,3,394,01/18/2022
34887,53,52998,50,331,12/10/2021
34887,53,58961,8,331,12/10/2021
34892,123,56670,61,331,06/21/2024
34892,123,59816,6,331,06/21/2024
34912,20,57450,14,368,10/04/2019
34912,20,57439,3,368,10/04/2019
34914,68,56416,42,331,03/22/2019
34924,79,55229,46,331,11/06/2020
34924,79,58378,5,331,11/06/2020
34938,68,57113,44,331,09/20/2019
34961,48,53883,26,331,04/18/2019
34975,67,56773,30,331,07/31/2019
34976,34,58686,3,368,05/21/2021
34976,34,57872,10,368,05/27/2021
34998,33,57072,17,331,10/21/2022
34998,33,59262,7,331,10/21/2022
35000,156,56199,130,297,05/21/2026
35000,156,60451,8,297,05/21/2026
35001,12,56837,18,297,11/01/2019
35003,61,56722,23,331,07/17/2019
35004,23,57618,24,331,01/29/2021
35004,23,58586,6,331,01/29/2021
35006,119,56645,48,331,06/21/2019
35007,81,53252,237,331,11/22/2017
35007,81,57434,35,331,10/11/2019
35010,40,57751,28,331,11/15/2019
35010,50,57751,28,331,07/17/2026
35010,50,60436,4,331,07/17/2026
35013,36,56640,16,331,07/05/2019
35014,39,56224,94,331,01/04/2019
35014,39,55723,44,331,01/04/2019
35016,36,56505,41,331,04/18/2019
35022,67,56422,50,331,03/22/2019
35025,98,53480,14,391,11/27/2023
35025,98,53484,18,391,11/27/2023
35025,98,53538,15,391,11/27/2023
35025,98,53558,29,391,11/27/2023
35025,98,53702,19,391,11/27/2023
35025,98,54472,30,391,05/10/2023
35025,98,54832,14,391,11/27/2023
35025,98,55695,21,391,06/06/2023
35025,98,56072,13,391,08/25/2022
35025,98,56853,102,391,02/16/2022
35025,98,59636,34,391,12/29/2023
35025,98,59678,4,391,02/19/2024
35025,98,53101,46,234,04/04/2014
35025,98,53104,32,234,04/04/2014
35025,98,53105,22,234,04/04/2014
35025,98,53106,16,234,04/04/2014
35025,98,54018,33,234,01/16/2015
35025,98,54021,26,234,01/16/2015
35026,75,56380,56,391,03/07/2019
35028,11,56845,12,297,11/08/2019
35035,74,55817,4,331,12/01/2017
35035,74,56631,19,331,06/20/2019
35038,76,55570,12,331,12/01/2017
35038,76,57600,34,331,10/25/2019
35041,113,54117,88,331,06/23/2016
35048,82,56619,33,392,06/11/2019
35049,58,57361,46,331,10/11/2019
35050,55,56923,16,331,09/06/2019
35062,122,56541,40,331,05/23/2019
35062,122,58917,101,331,12/02/2021
35070,76,54111,50,331,03/23/2018
35073,51,54810,4,378,12/23/2015
35073,51,56962,8,391,08/22/2019
35074,33,58628,5,297,02/19/2021
35074,33,56767,29,297,02/19/2021
35075,35,55124,2,297,06/29/2016
35075,35,56827,17,297,11/01/2019
35076,57,56874,29,297,02/07/2020
35076,57,57921,7,297,02/07/2020
35080,54,58614,3,297,02/19/2021
35080,54,56863,15,297,02/19/2021
35081,85,54095,68,335,10/20/2023
35081,85,59566,7,331,10/20/2023
35083,108,56423,59,335,03/05/2021
35083,108,58661,7,335,03/05/2021
35089,30,57753,12,331,11/15/2019
35090,95,56587,48,331,05/21/2021
35090,95,58771,5,331,05/21/2021
35091,103,56615,36,331,05/21/2021
35091,103,58764,8,331,05/21/2021
35092,78,56682,49,331,07/05/2019
35093,114,56786,77,331,12/16/2022
35093,114,59283,5,331,12/16/2022
35098,28,57668,45,297,11/13/2019
35099,60,56420,16,331,03/22/2019
35101,128,57130,51,331,09/20/2019
35121,35,56902,50,143,01/26/2021
35121,35,57552,19,143,10/30/2019
35121,35,59002,4,143,01/11/2022
35121,35,59812,3,143,05/15/2024
35121,35,59813,6,143,09/26/2024
35124,25,57551,14,143,10/30/2019
35125,77,55578,9,331,09/15/2017
35125,77,53001,45,331,04/12/2019
35130,66,58685,4,331,05/21/2021
35130,66,57752,18,331,05/27/2021
35132,54,53887,3,227,11/04/2014
35132,54,56674,11,373,06/26/2019
35136,37,54980,2,364,03/22/2016
35136,37,57791,12,364,11/20/2019
35136,37,54981,3,354,10/16/2025
35138,43,52996,31,331,04/12/2019
35160,62,54356,26,364,03/02/2023
35160,62,54386,38,364,03/02/2023
35160,62,54418,28,364,03/02/2023
35160,62,54422,21,364,03/02/2023
35160,62,54445,27,364,03/02/2023
35160,62,54480,16,364,03/02/2023
35160,62,54484,13,364,03/02/2023
35160,62,54494,18,364,07/24/2023
35160,62,54498,24,364,03/02/2023
35160,62,54552,3,364,03/02/2023
35160,62,55094,13,360,04/03/2024
35160,62,55711,24,364,03/02/2023
35160,62,56103,14,364,09/26/2023
35160,62,57526,93,364,03/02/2023
35160,62,57842,11,360,03/18/2024
35160,62,59641,35,360,03/06/2024
35160,62,54553,3,353,02/09/2026
35163,29,55684,5,364,08/11/2017
35163,29,57221,25,364,09/20/2019
35163,29,55685,5,356,10/16/2025
35170,60,60365,3,364,12/29/2025
35170,60,57185,43,364,12/29/2025
35172,72,57186,43,345,12/29/2025
35172,72,60366,4,345,12/29/2025
35175,64,56067,9,345,08/16/2018
35175,64,57215,41,345,09/19/2019
35222,25,57589,16,143,11/26/2019
35249,20,56567,7,228,11/07/2023
35249,20,57663,14,228,10/22/2019
35350,60,57414,30,331,10/11/2019
35391,17,56848,16,331,08/16/2019
35395,48,54954,28,331,05/05/2016
35396,220,52986,242,331,10/23/2020
35396,220,58529,4,331,10/23/2020
35397,64,52992,30,331,10/04/2016
35434,30,53252,237,331,09/27/2018
35434,30,57205,39,331,10/18/2019
35442,26,56998,10,238,09/03/2019
35451,53,52993,54,331,12/08/2023
35451,53,53252,237,331,11/15/2023
35451,53,59601,3,331,12/08/2023
35451,53,60315,4,331,03/26/2026
35456,66,56034,42,364,07/14/2022
35456,66,59151,4,364,07/14/2022
35456,66,59155,3,357,03/05/2026
35457,64,52725,38,345,07/14/2022
35457,64,59155,3,345,07/14/2022
35486,22,57595,20,143,11/01/2019
35490,85,54953,70,147,12/19/2025
35490,85,56902,50,143,05/06/2022
35490,85,57552,19,143,10/16/2025
35490,85,57944,25,143,04/12/2022
35490,85,58209,9,143,10/11/2022
35490,85,58213,16,143,04/12/2022
35490,85,58471,10,143,04/12/2022
35490,85,58473,11,143,04/12/2022
35490,85,59002,4,143,04/12/2022
35490,85,59090,2,143,04/20/2022
35494,28,57477,15,143,10/23/2019
35498,30,57482,25,143,10/23/2019
35526,43,57083,14,364,09/13/2019
35677,88,55406,3,374,12/14/2016
35677,88,56432,25,391,04/03/2019
35702,32,56514,25,364,05/06/2019
35704,22,56515,21,345,05/06/2019
35724,80,54799,67,391,08/18/2023
35724,80,59501,2,391,08/18/2023
35751,50,54400,2,143,06/10/2015
35751,50,57594,22,143,10/30/2019
35753,40,54398,2,143,06/10/2015
35753,40,57592,19,143,10/30/2019
35755,35,54402,2,143,06/10/2015
35755,35,57591,25,143,10/30/2019
35761,40,54399,2,143,06/10/2015
35761,40,57593,17,143,10/30/2019
35891,35,54137,2,228,03/31/2015
35891,35,56779,25,228,07/26/2019
35897,32,55432,2,228,01/13/2017
35897,32,57307,38,228,09/20/2019
35906,25,54139,3,228,03/31/2015
35906,25,57041,21,228,09/20/2019
35922,44,56838,13,391,05/21/2024
35922,44,59755,4,391,05/21/2024
35936,59,57826,37,297,06/03/2024
35936,59,59773,3,297,06/03/2024
35974,28,54566,4,234,07/29/2015
35974,28,56941,7,378,08/19/2019
35984,22,54586,2,228,08/05/2015
35984,22,56980,12,228,08/29/2019
35986,38,59295,6,228,04/16/2025
35986,38,59791,4,228,04/16/2025
35986,38,59292,6,228,05/12/2025
35998,36,54562,3,143,07/22/2015
35998,36,57590,15,143,10/30/2019
36000,21,54694,2,143,10/12/2015
36000,21,57596,19,143,10/30/2019
36007,65,56796,31,331,08/01/2019
36021,49,54185,20,228,08/07/2015
36021,49,54186,21,228,08/07/2015
