contractor_name_type,document_display_id,document_id,document_type,document_version,effective_date,note,retirement_date,title,updated_on,updated_on_sort,url
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L39840,39840,LCD,14,02/14/2025,,N/A,Artificial Intelligence Enabled CT Based Quantitative Coronary Topography (AI-QCT)/Coronary Plaque Analysis (AI-CPA),02/14/2025,20250214110338,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39840&ver=14
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L34425,34425,LCD,43,03/27/2025,,N/A,Magnetic Resonance Imaging of the Head and Neck,02/11/2025,20250211160348,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34425&ver=43
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L35724,35724,LCD,80,02/20/2025,,N/A,Urine Drug Testing,02/11/2025,20250211153319,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35724&ver=80
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L39741,39741,LCD,8,02/06/2025,,N/A,Cervical Fusion,01/29/2025,20250129111757,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39741&ver=8
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L39956,39956,LCD,5,03/27/2025,,N/A,Total Shoulder Arthroplasty,01/24/2025,20250124150823,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39956&ver=5
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L39773,39773,LCD,7,01/16/2025,,N/A,Cervical Fusion,01/10/2025,20250110080857,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39773&ver=7
"Palmetto GBA
(MAC - Part B)",L34869,34869,LCD,42,01/16/2025,,N/A,Repetitive Transcranial Magnetic Stimulation (rTMS) in Adults,01/07/2025,20250107080827,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34869&ver=42
"Palmetto GBA
(MAC - Part B)",L33444,33444,LCD,42,01/02/2025,,N/A,Pulmonary Stress Testing,12/23/2024,20241223091407,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33444&ver=42
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L39477,39477,LCD,7,12/26/2024,,N/A,Allogeneic Hematopoietic Cell Transplantation for Primary Refractory or Relapsed Hodgkin's and Non-Hodgkin's Lymphoma with B-cell or T-cell Origin,12/18/2024,20241218082800,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39477&ver=7
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L39475,39475,LCD,7,12/26/2024,,N/A,Sacroiliac Joint Injections and Procedures,12/18/2024,20241218081937,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39475&ver=7
"Palmetto GBA
(MAC - Part B)",L37387,37387,LCD,25,12/19/2024,,N/A,Chiropractic Services,12/13/2024,20241213103356,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37387&ver=25
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L39270,39270,LCD,8,12/19/2024,,N/A,Allogeneic Hematopoietic Cell Transplantation for Primary Refractory or Relapsed Hodgkin's and Non-Hodgkin's Lymphoma with B-cell or T-cell Origin,12/13/2024,20241213103303,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39270&ver=8
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L38551,38551,LCD,14,12/19/2024,,N/A,Transanal Endoscopic Surgery (TES),12/13/2024,20241213103220,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38551&ver=14
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L34454,34454,LCD,67,12/19/2024,,N/A,Colonoscopy/Sigmoidoscopy/Proctosigmoidoscopy,12/13/2024,20241213103140,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34454&ver=67
"Palmetto GBA
(MAC - Part A)",L34552,34552,LCD,40,12/19/2024,,N/A,Outpatient Observation Bed/Room Services,12/13/2024,20241213103052,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34552&ver=40
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L34424,34424,LCD,47,03/27/2025,,N/A,Magnetic Resonance Angiography,12/06/2024,20241206091033,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34424&ver=47
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L35026,35026,LCD,75,11/28/2024,,N/A,Rituximab,11/22/2024,20241122112752,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35026&ver=75
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L39402,39402,LCD,14,11/28/2024,,N/A,Sacroiliac Joint Injections and Procedures,11/20/2024,20241120075853,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39402&ver=14
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L34413,34413,LCD,53,11/21/2024,,N/A,Cataract Surgery,11/14/2024,20241114074141,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34413&ver=53
"Palmetto GBA
(HHH MAC)",L34559,34559,LCD,43,11/21/2024,,N/A,Hospice - Renal Care,11/13/2024,20241113092241,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34559&ver=43
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L35048,35048,LCD,82,11/14/2024,,N/A,Nerve Conduction Studies and Electromyography,11/08/2024,20241108094913,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35048&ver=82
"Palmetto GBA
(HHH MAC)",L34547,34547,LCD,40,11/14/2024,,N/A,Hospice - Neurological Conditions,11/06/2024,20241106142438,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34547&ver=40
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L38240,38240,LCD,26,11/07/2024,,N/A,MolDX: Blood Product Molecular Antigen Typing,10/31/2024,20241031114309,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38240&ver=26
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L34646,34646,LCD,26,10/31/2024,,N/A,Psychological and Neuropsychological Testing,10/21/2024,20241021150817,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34646&ver=26
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L35494,35494,LCD,28,10/31/2024,,N/A,Mohs Micrographic Surgery,10/21/2024,20241021135758,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35494&ver=28
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L38441,38441,LCD,15,11/07/2024,,N/A,MolDX: Blood Product Molecular Antigen Typing,10/21/2024,20241021134145,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38441&ver=15
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L37638,37638,LCD,31,01/01/2024,,N/A,Health and Behavior Assessment/Intervention,10/15/2024,20241015081212,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37638&ver=31
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L37176,37176,LCD,57,10/17/2024,,N/A,White Cell Colony Stimulating Factors,10/11/2024,20241011113816,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37176&ver=57
"First Coast Service Options, Inc.
(MAC - Part A, MAC - Part B)",L39877,39877,LCD,4,12/01/2024,,N/A,"Amniotic and Placental-Derived Product Injections and/or Applications for Musculoskeletal Indications, Non-Wound",10/11/2024,20241011095710,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39877&ver=4
"Novitas Solutions, Inc.
(MAC - Part A, MAC - Part B)",L39879,39879,LCD,10,12/01/2024,,N/A,"Amniotic and Placental-Derived Product Injections and/or Applications for Musculoskeletal Indications, Non-Wound",10/11/2024,20241011095639,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39879&ver=10
"CGS Administrators, LLC
(DME MAC)

Noridian Healthcare Solutions, LLC
(DME MAC)",L33822,33822,LCD,70,10/01/2024,,N/A,Glucose Monitors,10/09/2024,20241009135834,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33822&ver=70
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L39387,39387,LCD,8,10/10/2024,,N/A,Luteinizing Hormone-Releasing Hormone (LHRH) Analogs,10/04/2024,20241004101148,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39387&ver=8
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L37642,37642,LCD,18,10/03/2024,,N/A,Nerve Blocks and Electrostimulation for Peripheral Neuropathy,09/27/2024,20240927081516,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37642&ver=18
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L39907,39907,LCD,3,11/17/2024,,N/A,Micro-Invasive Glaucoma Surgery (MIGS),09/26/2024,20240926081357,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39907&ver=3
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L37531,37531,LCD,20,11/17/2024,,N/A,Micro-Invasive Glaucoma Surgery (MIGS),09/24/2024,20240924104126,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37531&ver=20
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L36402,36402,LCD,35,09/26/2024,,N/A,Allergy Testing,09/17/2024,20240917080432,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=36402&ver=35
"Palmetto GBA
(MAC - Part B)",L33447,33447,LCD,48,09/19/2024,,N/A,Special Electroencephalography,09/10/2024,20240910094708,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33447&ver=48
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L38775,38775,LCD,10,09/12/2024,,N/A,Extracorporeal Shock Wave Therapy (ESWT),09/06/2024,20240906094349,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38775&ver=10
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L38747,38747,LCD,9,09/12/2024,,N/A,Peroral Endoscopic Myotomy (POEM),09/06/2024,20240906094230,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38747&ver=9
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L39400,39400,LCD,8,09/12/2024,,N/A,Magnesium,09/06/2024,20240906094147,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39400&ver=8
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L37848,37848,LCD,18,09/12/2024,,N/A,Lumbar Spinal Fusion,09/06/2024,20240906094051,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37848&ver=18
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L34433,34433,LCD,43,09/12/2024,,N/A,Somatosensory Testing,09/06/2024,20240906093601,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34433&ver=43
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L37826,37826,LCD,28,09/12/2024,,N/A,Lumbar Artificial Disc Replacement,09/06/2024,20240906093505,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37826&ver=28
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L39853,39853,LCD,3,10/20/2024,,N/A,Outpatient Psychotherapy,08/29/2024,20240829155210,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39853&ver=3
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L39849,39849,LCD,3,10/20/2024,,N/A,Opioid Treatment Programs,08/29/2024,20240829155136,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39849&ver=3
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L35025,35025,LCD,98,05/04/2023,,N/A,MolDX: Molecular Diagnostic Tests (MDT),08/26/2024,20240826153813,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35025&ver=98
